"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Residential Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,Class of, Number of , Revenue , Sales ,Average Retail
Entergy Louisiana Inc,LA,Investor Owned," 570,058 "," 739,388 "," 8,795,215 ",8.41
Entergy New Orleans Inc,LA,Investor Owned," 170,790 "," 178,133 "," 2,132,976 ",8.35
"Jefferson Davis Elec Coop, Inc",LA,Cooperative," 8,586 "," 8,584 "," 124,277 ",6.91
Jonesville City of,LA,Publicly Owned, 995 ," 1,142 "," 11,218 ",10.18
Morgan City City of,LA,Publicly Owned," 5,056 "," 6,116 "," 76,110 ",8.04
Northeast Louisiana Power Coop Inc.,LA,Cooperative," 10,929 "," 11,277 "," 176,393 ",6.39
"Panola-Harrison Elec Coop, Inc",LA,Cooperative," 7,591 "," 7,529 "," 119,200 ",6.32
Plaquemine City of,LA,Publicly Owned," 3,786 "," 4,681 "," 52,328 ",8.95
Pointe Coupee Elec Member Corp,LA,Cooperative," 7,651 "," 7,594 "," 108,968 ",6.97
South Louisiana Elec Coop Assn,LA,Cooperative," 16,140 "," 16,079 "," 265,000 ",6.07
Southwest Louisiana E M C,LA,Cooperative," 75,503 "," 82,502 "," 1,350,455 ",6.11
Southwestern Electric Power Co,LA,Investor Owned," 147,836 "," 147,739 "," 2,213,815 ",6.67
Terrebonne Parish Consol Gov't,LA,Publicly Owned," 9,339 "," 14,138 "," 155,094 ",9.12
Town of Boyce,LA,Publicly Owned, 415 , 502 ," 5,561 ",9.03
Town of Elizabeth,LA,Publicly Owned, 253 , 235 ," 2,614 ",8.99
Town of Gueydan,LA,Publicly Owned, 689 , 629 ," 9,337 ",6.74
Town of Vidalia,LA,Publicly Owned," 2,284 "," 2,266 "," 26,000 ",8.72
Town of Vinton,LA,Publicly Owned," 1,304 "," 1,663 "," 16,161 ",10.29
Town of Welsh,LA,Publicly Owned," 1,502 "," 1,375 "," 23,357 ",5.89
Valley Electric Member Corp,LA,Cooperative," 27,856 "," 31,990 "," 464,000 ",6.89
"Washington-St Tammany E C, Inc",LA,Cooperative," 38,314 "," 45,487 "," 650,048 ",7.00
Central Maine Power Co,ME,Investor Owned, 26 , 10 , 86 ,11.63
"Fox Islands Electric Coop, Inc",ME,Cooperative," 1,578 "," 1,210 "," 6,870 ",17.61
Kennebunk Light & Power Dist,ME,Publicly Owned," 5,130 "," 2,750 "," 46,430 ",5.92
Madison Town of,ME,Publicly Owned," 2,114 "," 1,691 "," 16,018 ",10.56
Matinicus Plantation Elec Co,ME,Publicly Owned, 114 , 85 , 219 ,38.81
Swans Island Electric Coop Inc,ME,Cooperative, 481 , 463 ," 1,821 ",25.43
Van Buren Light & Power Dist,ME,Publicly Owned," 1,155 ", 618 ," 7,400 ",8.35
A & N Electric Coop,MD,Cooperative, 295 , 270 ," 2,773 ",9.74
Baltimore Gas & Electric Co,MD,Investor Owned," 1,058,380 "," 1,011,336 "," 12,770,131 ",7.92
Berlin Town of,MD,Publicly Owned," 1,437 "," 1,716 "," 18,100 ",9.48
"Choptank Electric Coop, Inc",MD,Cooperative," 39,966 "," 50,898 "," 554,056 ",9.19
City of Hagerstown,MD,Publicly Owned," 14,738 "," 8,264 "," 150,242 ",5.50
Delmarva Power & Light Company,MD,Investor Owned," 162,826 "," 173,539 "," 2,145,153 ",8.09
Easton Utilities Comm,MD,Publicly Owned," 7,558 "," 8,337 "," 99,645 ",8.37
Potomac Edison Co,MD,Investor Owned," 200,244 "," 204,612 "," 3,010,474 ",6.80
Potomac Electric Power Co,MD,Investor Owned," 385,621 "," 392,026 "," 5,080,577 ",7.72
Southern Maryland Elec Coop Inc,MD,Cooperative," 118,683 "," 138,469 "," 1,917,133 ",7.22
Thurmont Municipal Light Co,MD,Publicly Owned," 2,394 "," 1,567 "," 38,000 ",4.12
Town of Williamsport,MD,Publicly Owned, 840 , 499 ," 9,008 ",5.54
Boston Edison Co,MA,Investor Owned," 588,666 "," 547,055 "," 4,184,044 ",13.07
Braintree Town of,MA,Publicly Owned," 12,329 "," 10,169 "," 109,980 ",9.25
Cambridge Electric Light Co,MA,Investor Owned," 39,023 "," 24,046 "," 193,198 ",12.45
Chicopee City of,MA,Publicly Owned," 23,214 "," 15,688 "," 181,980 ",8.62
City of Hingham,MA,Publicly Owned," 9,018 "," 7,997 "," 78,907 ",10.13
City of Marblehead,MA,Publicly Owned," 10,179 "," 8,437 "," 78,075 ",10.81
City of Norwood,MA,Publicly Owned," 12,839 "," 6,527 "," 84,801 ",7.70
City of Peabody,MA,Publicly Owned," 19,816 "," 16,171 "," 173,401 ",9.33
City of Russell,MA,Publicly Owned, 427 , 371 ," 3,149 ",11.78
City of Taunton,MA,Publicly Owned," 30,833 "," 25,125 "," 265,477 ",9.46
City of Westfield,MA,Publicly Owned," 15,236 "," 12,201 "," 123,623 ",9.87
Commonwealth Electric Co,MA,Investor Owned," 255,127 "," 245,778 "," 1,765,451 ",13.92
Fitchburg Gas & Elec Light Co,MA,Investor Owned," 23,588 "," 22,332 "," 170,254 ",13.12
Groveland Town of,MA,Publicly Owned," 2,283 "," 1,908 "," 21,231 ",8.99
Holyoke City of,MA,Publicly Owned," 14,419 "," 11,188 "," 102,316 ",10.93
Massachusetts Electric Co,MA,Investor Owned," 1,056,355 "," 911,668 "," 8,376,397 ",10.88
Nantucket Electric Co,MA,Investor Owned," 10,031 "," 11,147 "," 88,360 ",12.62
Reading Town of,MA,Publicly Owned," 24,215 "," 24,755 "," 228,590 ",10.83
Rowley Town of,MA,Publicly Owned," 2,190 "," 1,911 "," 21,061 ",9.07
Town of Ashburnham,MA,Publicly Owned," 2,888 "," 2,284 "," 19,978 ",11.43
Town of Belmont,MA,Publicly Owned," 9,906 "," 7,540 "," 70,993 ",10.62
Town of Boylston,MA,Publicly Owned," 1,723 "," 1,670 "," 17,175 ",9.72
Town of Chester,MA,Publicly Owned, 569 , 481 ," 3,810 ",12.62
Town of Concord,MA,Publicly Owned," 6,140 "," 6,398 "," 67,618 ",9.46
Town of Danvers,MA,Publicly Owned," 9,831 "," 9,890 "," 82,974 ",11.92
Town of Georgetown,MA,Publicly Owned," 2,634 "," 2,876 "," 26,368 ",10.91
Town of Groton,MA,Publicly Owned," 3,940 "," 3,941 "," 40,099 ",9.83
Town of Holden,MA,Publicly Owned," 6,260 "," 6,272 "," 59,589 ",10.53
Town of Hudson,MA,Publicly Owned," 9,778 "," 8,539 "," 89,015 ",9.59
Town of Hull,MA,Publicly Owned," 5,583 "," 3,695 "," 35,483 ",10.41
Town of Ipswich,MA,Publicly Owned," 5,669 "," 5,207 "," 48,690 ",10.69
Town of Littleton,MA,Publicly Owned," 5,585 "," 5,106 "," 61,000 ",8.37
Town of Mansfield,MA,Publicly Owned," 8,173 "," 7,839 "," 73,883 ",10.61
Town of Merrimac,MA,Publicly Owned," 2,442 "," 1,875 "," 21,378 ",8.77
Town of Middleborough,MA,Publicly Owned," 11,614 "," 11,095 "," 106,788 ",10.39
Town of Middleton,MA,Publicly Owned," 2,582 "," 2,665 "," 29,792 ",8.95
Town of North Attleborough,MA,Publicly Owned," 11,203 "," 10,651 "," 105,838 ",10.06
Town of Paxton,MA,Publicly Owned," 1,533 "," 1,721 "," 14,555 ",11.82
Town of Princeton,MA,Publicly Owned," 1,362 "," 1,565 "," 13,671 ",11.45
Town of Shrewsbury,MA,Publicly Owned," 13,250 "," 11,701 "," 127,427 ",9.18
Town of South Hadley,MA,Publicly Owned," 6,701 "," 6,574 "," 59,851 ",10.98
Town of Sterling,MA,Publicly Owned," 2,987 "," 3,080 "," 27,118 ",11.36
Town of Templeton,MA,Publicly Owned," 2,944 "," 2,594 "," 22,537 ",11.51
Town of Wakefield,MA,Publicly Owned," 9,911 "," 8,307 "," 73,769 ",11.26
Wellesley Town of,MA,Publicly Owned," 8,752 "," 8,682 "," 95,614 ",9.08
West Boylston Town of,MA,Publicly Owned," 2,633 "," 2,325 "," 23,501 ",9.89
Western Massachusetts Elec Co,MA,Investor Owned," 184,110 "," 165,130 "," 1,507,117 ",10.96
Alger-Delta Coop Electric Assn,MI,Cooperative," 9,043 "," 5,324 "," 47,835 ",11.13
Alpena Power Co,MI,Investor Owned," 13,574 "," 7,755 "," 88,432 ",8.77
"Bayfield Electric Coop, Inc",MI,Cooperative, 48 , 24 , 169 ,14.20
Cherryland Electric Coop Inc,MI,Cooperative," 28,053 "," 20,863 "," 215,500 ",9.68
City of Bay City,MI,Publicly Owned," 17,628 "," 9,440 "," 121,999 ",7.74
City of Charlevoix,MI,Publicly Owned," 3,474 "," 1,669 "," 20,654 ",8.08
City of Croswell,MI,Publicly Owned, 868 , 573 ," 7,266 ",7.89
City of Crystal Falls,MI,Publicly Owned," 1,282 ", 660 ," 8,005 ",8.24
City of Detroit,MI,Publicly Owned," 1,638 "," 44,947 "," 440,225 ",10.21
City of Dowagiac,MI,Publicly Owned," 2,180 "," 1,277 "," 18,176 ",7.03
City of Eaton Rapids,MI,Publicly Owned," 2,362 "," 1,743 "," 22,486 ",7.75
City of Escanaba,MI,Publicly Owned," 6,221 "," 2,657 "," 36,109 ",7.36
City of Gladstone,MI,Publicly Owned," 2,833 "," 1,454 "," 18,576 ",7.83
City of Grand Haven,MI,Publicly Owned," 11,165 "," 6,154 "," 76,423 ",8.05
City of Hart Hydro,MI,Publicly Owned, 991 , 521 ," 6,984 ",7.46
City of Holland,MI,Publicly Owned," 21,602 "," 11,219 "," 160,048 ",7.01
City of Lowell,MI,Publicly Owned," 2,079 "," 1,205 "," 16,164 ",7.45
City of Marquette,MI,Publicly Owned," 13,405 "," 6,966 "," 97,492 ",7.15
City of Marshall,MI,Publicly Owned," 3,784 "," 2,801 "," 25,912 ",10.81
City of Negaunee,MI,Publicly Owned," 2,054 ", 937 ," 12,100 ",7.74
City of Niles,MI,Publicly Owned," 6,200 "," 3,147 "," 50,112 ",6.28
City of Norway,MI,Publicly Owned," 1,920 "," 1,069 "," 17,182 ",6.22
City of Petoskey,MI,Publicly Owned," 4,003 "," 1,701 "," 21,311 ",7.98
City of Portland,MI,Publicly Owned," 2,086 "," 1,378 "," 15,215 ",9.06
City of Sebewaing,MI,Publicly Owned," 1,139 ", 921 ," 10,226 ",9.01
City of South Haven,MI,Publicly Owned," 6,407 "," 3,090 "," 45,621 ",6.77
City of St Louis,MI,Publicly Owned," 1,542 "," 1,000 "," 11,199 ",8.93
City of Stephenson,MI,Publicly Owned, 394 , 172 ," 2,577 ",6.67
City of Sturgis,MI,Publicly Owned," 5,953 "," 3,836 "," 48,561 ",7.90
City of Traverse City,MI,Publicly Owned," 7,396 "," 3,372 "," 48,004 ",7.02
City of Wakefield,MI,Publicly Owned," 1,034 ", 460 ," 7,023 ",6.55
City of Zeeland,MI,Publicly Owned," 4,772 "," 2,393 "," 35,780 ",6.69
Clinton Village of,MI,Publicly Owned," 1,076 ", 943 ," 8,168 ",11.55
Cloverland Electric Co-op,MI,Cooperative," 16,963 "," 11,468 "," 119,635 ",9.59
Coldwater Board of Public Util,MI,Publicly Owned," 5,467 "," 3,703 "," 36,263 ",10.21
Consumers Energy Company,MI,Investor Owned," 1,530,540 "," 1,005,247 "," 12,462,333 ",8.07
Detroit Edison Co,MI,Investor Owned," 1,952,000 "," 1,299,535 "," 15,074,412 ",8.62
Edison Sault Electric Co,MI,Investor Owned," 18,536 "," 10,456 "," 170,484 ",6.13
Great Lakes Energy Coop,MI,Cooperative," 106,842 "," 73,971 "," 700,707 ",10.56
Harbor Springs City of,MI,Publicly Owned," 2,831 "," 1,222 "," 15,800 ",7.73
Hillsdale Board of Public Wks,MI,Publicly Owned," 5,148 "," 3,035 "," 38,467 ",7.89
Indiana Michigan Power Co,MI,Investor Owned," 106,581 "," 65,838 "," 1,147,469 ",5.74
Lansing City of,MI,Publicly Owned," 83,718 "," 42,976 "," 614,520 ",6.99
Midwest Energy Cooperative,MI,Cooperative," 28,328 "," 25,822 "," 326,327 ",7.91
Newberry Water & Light Board,MI,Publicly Owned," 1,251 ", 962 ," 14,809 ",6.50
Northern States Power Co,MI,Investor Owned," 7,862 "," 4,086 "," 55,506 ",7.36
Ontonagon County R E A,MI,Cooperative," 4,373 "," 2,707 "," 21,106 ",12.83
Presque Isle Elec & Gas Coop,MI,Cooperative," 30,145 "," 16,836 "," 158,245 ",10.64
Thumb Electric Coop of Mich,MI,Cooperative," 11,405 "," 10,239 "," 119,983 ",8.53
Tri-County Electric Coop,MI,Cooperative," 21,544 "," 19,600 "," 197,666 ",9.92
Upper Peninsula Power Co,MI,Investor Owned," 45,401 "," 31,526 "," 276,976 ",11.38
Village of Baraga,MI,Publicly Owned, 596 , 201 ," 2,865 ",7.02
Village of Chelsea,MI,Publicly Owned," 1,820 "," 1,021 "," 13,792 ",7.40
Village of Daggett,MI,Publicly Owned, 153 , 47 ," 1,315 ",3.57
Village of L'Anse,MI,Publicly Owned, 961 , 365 ," 5,096 ",7.16
Village of Paw Paw,MI,Publicly Owned," 1,537 ", 706 ," 10,145 ",6.96
Village of Union City,MI,Publicly Owned, 804 , 885 ," 10,400 ",8.51
Wisconsin Electric Power Co,MI,Investor Owned," 23,884 "," 17,387 "," 167,357 ",10.39
Wisconsin Public Service Corp,MI,Investor Owned," 7,966 "," 4,414 "," 67,679 ",6.52
Wyandotte Municipal Serv Comm,MI,Publicly Owned," 11,711 "," 7,151 "," 78,583 ",9.10
Adrian Public Utilities Comm,MN,Publicly Owned, 532 , 433 ," 6,622 ",6.54
Agralite Electric Coop,MN,Cooperative," 4,405 "," 6,915 "," 87,062 ",7.94
Aitkin Public Utilities Comm,MN,Publicly Owned," 1,500 ", 741 ," 13,200 ",5.61
Anoka Electric Coop,MN,Cooperative," 99,216 "," 86,913 "," 1,040,821 ",8.35
"Arrowhead Electric Coop, Inc",MN,Cooperative," 3,279 "," 2,995 "," 36,005 ",8.32
Austin City of,MN,Publicly Owned," 10,527 "," 6,582 "," 78,268 ",8.41
Bagley Public Utilities Comm,MN,Publicly Owned, 555 , 351 ," 6,976 ",5.03
"Beltrami Electric Coop, Inc",MN,Cooperative," 16,758 "," 17,122 "," 272,178 ",6.29
Blue Earth-Nicollet-Faribault,MN,Cooperative," 11,510 "," 12,769 "," 156,476 ",8.16
Brainerd Public Utilities,MN,Publicly Owned," 5,693 "," 3,042 "," 46,434 ",6.55
Brewster City of,MN,Publicly Owned, 224 , 132 ," 2,038 ",6.48
Brown County Rural Elec Assn,MN,Cooperative," 3,271 "," 4,199 "," 64,528 ",6.51
City of Ada,MN,Publicly Owned, 843 , 730 ," 11,343 ",6.44
City of Alexandria,MN,Publicly Owned," 7,032 "," 4,533 "," 66,054 ",6.86
City of Alpha,MN,Publicly Owned, 66 , 58 , 605 ,9.59
City of Alvarado,MN,Publicly Owned, 191 , 152 ," 2,187 ",6.95
City of Anoka,MN,Publicly Owned," 10,180 "," 6,123 "," 75,219 ",8.14
City of Arlington,MN,Publicly Owned, 891 , 587 ," 7,783 ",7.54
City of Barnesville,MN,Publicly Owned," 1,028 ", 875 ," 14,001 ",6.25
City of Baudette,MN,Publicly Owned, 593 , 382 ," 4,988 ",7.66
City of Benson,MN,Publicly Owned," 1,507 ", 771 ," 14,096 ",5.47
City of Bigelow,MN,Publicly Owned, 95 , 55 , 762 ,7.22
City of Biwabik,MN,Publicly Owned, 693 , 215 ," 3,779 ",5.69
City of Blooming Prairie,MN,Publicly Owned, 827 , 476 ," 6,671 ",7.14
City of Blue Earth,MN,Publicly Owned," 1,680 ", 984 ," 13,511 ",7.28
City of Breckenridge,MN,Publicly Owned," 1,535 ", 852 ," 17,755 ",4.80
City of Brownton,MN,Publicly Owned, 345 , 229 ," 3,329 ",6.88
City of Buffalo,MN,Publicly Owned," 4,106 "," 2,443 "," 33,701 ",7.25
City of Buhl,MN,Publicly Owned, 450 , 252 ," 3,677 ",6.85
City of Caledonia,MN,Publicly Owned," 1,329 ", 709 ," 9,789 ",7.24
City of Ceylon,MN,Publicly Owned, 196 , 90 ," 1,707 ",5.27
City of Chaska,MN,Publicly Owned," 6,844 "," 4,368 "," 63,646 ",6.86
City of Detroit Lakes,MN,Publicly Owned," 5,081 "," 3,220 "," 54,866 ",5.87
City of Dunnell,MN,Publicly Owned, 92 , 46 , 665 ,6.92
City of Eitzen,MN,Publicly Owned, 130 , 95 ," 1,238 ",7.67
City of Elbow Lake,MN,Publicly Owned, 670 , 393 ," 5,950 ",6.61
City of Elk River,MN,Publicly Owned," 6,522 "," 5,161 "," 61,665 ",8.37
City of Fairfax,MN,Publicly Owned, 577 , 358 ," 6,273 ",5.71
City of Fosston,MN,Publicly Owned, 680 , 625 ," 10,334 ",6.05
City of Gilbert,MN,Publicly Owned, 899 , 363 ," 5,670 ",6.40
City of Grand Marais,MN,Publicly Owned, 871 , 506 ," 6,849 ",7.39
City of Grove City,MN,Publicly Owned, 353 , 315 ," 4,008 ",7.86
City of Halstad,MN,Publicly Owned, 246 , 262 ," 4,676 ",5.60
City of Harmony,MN,Publicly Owned, 580 , 254 ," 4,103 ",6.19
City of Henning,MN,Publicly Owned, 396 , 216 ," 3,738 ",5.78
City of Jackson,MN,Publicly Owned," 1,575 ", 848 ," 13,574 ",6.25
City of Kandiyohi,MN,Publicly Owned, 225 , 170 ," 2,345 ",7.25
City of Kasota,MN,Publicly Owned, 327 , 240 ," 3,700 ",6.49
City of Kasson,MN,Publicly Owned," 2,032 "," 1,262 "," 15,930 ",7.92
City of Lake City,MN,Publicly Owned," 2,585 "," 1,656 "," 18,978 ",8.73
City of Lake Crystal,MN,Publicly Owned," 1,005 ", 718 ," 8,234 ",8.72
City of Lakefield,MN,Publicly Owned, 798 , 399 ," 7,257 ",5.50
City of Luverne,MN,Publicly Owned," 1,830 "," 1,446 "," 22,095 ",6.54
City of Mabel,MN,Publicly Owned, 388 , 159 ," 2,527 ",6.29
City of Madelia,MN,Publicly Owned, 982 , 667 ," 7,673 ",8.69
City of Madison,MN,Publicly Owned, 851 , 442 ," 8,729 ",5.06
City of Marshall,MN,Publicly Owned," 5,328 "," 2,821 "," 56,663 ",4.98
City of Moorhead,MN,Publicly Owned," 12,355 "," 7,486 "," 141,771 ",5.28
City of Mora,MN,Publicly Owned," 1,750 ", 825 ," 12,000 ",6.88
City of Mountain Iron,MN,Publicly Owned," 1,114 ", 630 ," 10,196 ",6.18
City of Mountain Lake,MN,Publicly Owned, 884 , 700 ," 8,239 ",8.50
City of Nashwauk,MN,Publicly Owned, 466 , 196 ," 3,636 ",5.39
City of Newfolden,MN,Publicly Owned, 157 , 104 ," 1,957 ",5.31
City of Nielsville,MN,Publicly Owned, 55 , 29 , 410 ,7.07
City of North St Paul,MN,Publicly Owned," 5,737 "," 3,695 "," 42,955 ",8.60
City of Olivia,MN,Publicly Owned," 1,143 ", 688 ," 11,722 ",5.87
City of Ortonville,MN,Publicly Owned," 1,068 ", 634 ," 11,574 ",5.48
City of Owatonna,MN,Publicly Owned," 9,499 "," 5,897 "," 75,882 ",7.77
City of Peterson,MN,Publicly Owned, 120 , 107 ," 1,346 ",7.95
City of Pierz,MN,Publicly Owned, 548 , 241 ," 3,162 ",7.62
City of Randall,MN,Publicly Owned, 252 , 162 ," 2,854 ",5.68
City of Roseau,MN,Publicly Owned," 1,129 ", 976 ," 15,794 ",6.18
City of Round Lake,MN,Publicly Owned, 212 , 127 ," 1,822 ",6.97
City of Rushford,MN,Publicly Owned, 794 , 491 ," 7,030 ",6.98
City of Rushmore,MN,Publicly Owned, 178 , 102 ," 1,339 ",7.62
City of Saint Peter,MN,Publicly Owned," 3,328 "," 2,161 "," 25,008 ",8.64
City of Sauk Centre,MN,Publicly Owned," 1,833 ", 962 ," 17,890 ",5.38
City of Shelly,MN,Publicly Owned, 126 , 89 ," 1,323 ",6.73
City of Spring Grove,MN,Publicly Owned, 624 , 325 ," 4,164 ",7.80
City of St Charles,MN,Publicly Owned," 1,462 ", 860 ," 11,555 ",7.44
City of St James,MN,Publicly Owned," 1,897 ", 947 ," 18,017 ",5.26
City of Staples,MN,Publicly Owned," 1,095 ", 671 ," 9,948 ",6.75
City of Stephen,MN,Publicly Owned, 297 , 282 ," 4,017 ",7.02
City of Thief River Falls,MN,Publicly Owned," 3,645 "," 2,339 "," 44,817 ",5.22
City of Two Harbors,MN,Publicly Owned," 1,529 ", 735 ," 10,413 ",7.06
City of Tyler,MN,Publicly Owned, 540 , 590 ," 9,428 ",6.26
City of Virginia,MN,Publicly Owned," 4,317 "," 2,558 "," 34,184 ",7.48
City of Wadena,MN,Publicly Owned," 2,100 "," 1,160 "," 21,676 ",5.35
City of Warren,MN,Publicly Owned, 692 , 466 ," 8,538 ",5.46
City of Warroad,MN,Publicly Owned, 747 , 531 ," 8,399 ",6.32
City of Waseca,MN,Publicly Owned," 3,534 "," 2,014 "," 26,012 ",7.74
City of Wells,MN,Publicly Owned," 1,223 ", 738 ," 8,835 ",8.35
City of Westbrook,MN,Publicly Owned, 350 , 291 ," 4,332 ",6.72
City of Whalan,MN,Publicly Owned, 60 , 43 , 850 ,5.06
City of Windom,MN,Publicly Owned," 2,064 "," 1,097 "," 20,045 ",5.47
City of Worthington,MN,Publicly Owned," 4,361 "," 2,309 "," 33,886 ",6.81
Clearwater-Polk Elec Coop Inc,MN,Cooperative," 3,767 "," 4,038 "," 61,199 ",6.60
Cooperative L&P Assn Lake Cnty,MN,Cooperative," 4,717 "," 3,654 "," 43,720 ",8.36
Crow Wing Cooperative Power & Light Comp,MN,Cooperative," 35,179 "," 26,370 "," 344,410 ",7.66
Dakota Electric Assn,MN,Cooperative," 85,690 "," 66,749 "," 853,816 ",7.82
Delano Municipal Utilities,MN,Publicly Owned," 1,595 "," 1,197 "," 13,831 ",8.65
East Central Energy,MN,Cooperative," 43,946 "," 37,927 "," 464,101 ",8.17
East Grand Forks City of,MN,Publicly Owned," 3,317 "," 2,557 "," 33,699 ",7.59
Ely City of,MN,Publicly Owned," 1,950 ", 923 ," 12,000 ",7.69
Fairmont Public Utilities Comm,MN,Publicly Owned," 5,150 "," 3,028 "," 41,757 ",7.25
Federated Rural Electric Assn,MN,Cooperative," 4,561 "," 5,254 "," 87,120 ",6.03
Freeborn-Mower Coop Services,MN,Cooperative," 5,743 "," 8,626 "," 101,899 ",8.47
Glencoe Light & Power Comm,MN,Publicly Owned," 2,383 "," 1,670 "," 21,916 ",7.62
Goodhue County Coop Elec Assn,MN,Cooperative," 4,271 "," 6,298 "," 74,389 ",8.47
Grand Rapids Public Util Comm,MN,Publicly Owned," 5,114 "," 2,868 "," 43,466 ",6.60
Granite Falls City of,MN,Publicly Owned," 1,349 ", 827 ," 12,332 ",6.71
Hawley Public Utilities Comm,MN,Publicly Owned, 802 , 623 ," 9,415 ",6.62
H-D Electric Coop Inc,MN,Cooperative, 12 , 15 , 174 ,8.62
Heartland Power Coop,MN,Cooperative, 38 , 74 , 921 ,8.03
Hibbing Public Utilities Comm,MN,Publicly Owned," 6,133 "," 4,096 "," 49,272 ",8.31
Hutchinson Utilities Comm,MN,Publicly Owned," 5,789 "," 3,656 "," 50,970 ",7.17
Interstate Power and Light Co,MN,Investor Owned," 35,926 "," 28,222 "," 307,983 ",9.16
Itasca-Mantrap Co-op Electrical Assn,MN,Cooperative," 9,376 "," 7,560 "," 101,219 ",7.47
Janesville City of,MN,Publicly Owned, 919 , 396 ," 6,674 ",5.93
Kandiyohi Power Coop,MN,Cooperative," 6,784 "," 7,602 "," 96,353 ",7.89
Keewatin Public Utilities,MN,Publicly Owned, 547 , 366 ," 5,603 ",6.53
Kenyon Municipal Utilities,MN,Publicly Owned, 768 , 546 ," 6,278 ",8.70
Lake Country Power,MN,Cooperative," 43,430 "," 32,977 "," 402,914 ",8.18
Lake Park City of,MN,Publicly Owned, 340 , 249 ," 4,000 ",6.23
Lake Region Coop Elec Assn,MN,Cooperative," 22,108 "," 21,698 "," 266,324 ",8.15
Lanesboro Public Utility Comm,MN,Publicly Owned, 505 , 200 ," 2,906 ",6.88
Le Sueur City of,MN,Publicly Owned," 1,796 "," 1,395 "," 19,758 ",7.06
Litchfield Public Utilities,MN,Publicly Owned," 2,700 "," 1,635 "," 34,234 ",4.78
Lyon-Lincoln Electric Coop Inc,MN,Cooperative," 3,629 "," 4,413 "," 60,793 ",7.26
McLeod Cooperative Power Assn,MN,Cooperative," 5,816 "," 7,814 "," 96,300 ",8.11
Meeker Coop Light & Power Assn,MN,Cooperative," 7,351 "," 8,805 "," 113,200 ",7.78
Melrose Public Utilities,MN,Publicly Owned," 1,251 ", 693 ," 17,559 ",3.95
Mille Lacs Electric Coop,MN,Cooperative," 12,697 "," 9,322 "," 103,041 ",9.05
Minnesota Power Inc,MN,Investor Owned," 113,210 "," 65,901 "," 978,743 ",6.73
Minnesota Valley Coop L&P Assn,MN,Cooperative," 4,989 "," 7,033 "," 106,371 ",6.61
Minnesota Valley Electric Coop,MN,Cooperative," 25,409 "," 25,750 "," 319,762 ",8.05
Moose Lake Water & Light Comm,MN,Publicly Owned, 738 , 383 ," 6,203 ",6.17
New Prague Utilities Comm,MN,Publicly Owned," 2,068 "," 1,135 "," 16,228 ",6.99
New Ulm Public Utilities Comm,MN,Publicly Owned," 5,843 "," 4,757 "," 45,336 ",10.49
Nobles Cooperative Electric,MN,Cooperative," 4,686 "," 5,757 "," 84,076 ",6.85
North Branch Water & Light Comm,MN,Publicly Owned," 1,551 ", 938 ," 10,746 ",8.73
North Itasca Electric Coop Inc,MN,Cooperative," 4,681 "," 3,391 "," 32,715 ",10.37
"North Star Electric Coop, Inc",MN,Cooperative," 5,653 "," 5,767 "," 79,240 ",7.28
Northern States Power Co,MN,Investor Owned," 1,038,393 "," 665,173 "," 8,482,572 ",7.84
Northwestern Wisconsin Elec Co,MN,Investor Owned, 71 , 31 , 325 ,9.54
Otter Tail Power Co,MN,Investor Owned," 45,868 "," 34,394 "," 509,490 ",6.75
"P K M Electric Coop, Inc",MN,Cooperative," 3,365 "," 4,952 "," 69,807 ",7.09
People's Cooperative Services,MN,Cooperative," 14,473 "," 15,181 "," 192,006 ",7.91
Preston Public Utilities Comm,MN,Publicly Owned, 696 , 391 ," 5,379 ",7.27
Princeton Public Utils Comm,MN,Publicly Owned," 2,007 "," 1,266 "," 15,060 ",8.41
Proctor Public Utilities Comm,MN,Publicly Owned," 1,226 ", 681 ," 11,376 ",5.99
